"","Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Market.Category","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Popularity","MSRP"
"6936","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",4,"Exotic,Performance","Large","Sedan",102,101,1391,75000
"6937","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",4,"Exotic,High-Performance","Large","Sedan",107,101,1391,89500
"6938","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","all wheel drive",4,"Exotic,High-Performance","Large","Sedan",100,91,1391,112000
"6939","Tesla","Model S",2016,"electric",NA,0,"DIRECT_DRIVE","rear wheel drive",4,"Exotic,Performance","Large","Sedan",90,88,1391,70000
"8375","Toyota","RAV4 EV",2013,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Crossover","Midsize","4dr SUV",74,78,2031,49800
"8376","Toyota","RAV4 EV",2014,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"Crossover","Midsize","4dr SUV",74,78,2031,49800
"9851","Kia","Soul EV",2015,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"N/A","Compact","Wagon",92,120,1720,35700
"9852","Kia","Soul EV",2015,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"N/A","Compact","Wagon",92,120,1720,33700
"9853","Kia","Soul EV",2016,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"N/A","Compact","Wagon",92,120,1720,33950
"9854","Kia","Soul EV",2016,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"N/A","Compact","Wagon",92,120,1720,31950
"9855","Kia","Soul EV",2016,"electric",NA,0,"DIRECT_DRIVE","front wheel drive",4,"N/A","Compact","Wagon",92,120,1720,35950
